r,gr
5.7375,0.0012252
5.7562,0.001082
5.775,0.00092562
5.7938,0.00075917
5.8125,0.00058591
5.8312,0.00040909
5.85,0.00023185
5.8687,5.7245e-05
5.8875,-0.00011186
5.9062,-0.0002728
5.925,-0.00042317
5.9437,-0.00056085
5.9625,-0.00068402
5.9813,-0.00079121
6,-0.00088128
6.0187,-0.00095342
6.0375,-0.0010072
6.0562,-0.0010424
6.075,-0.0010594
6.0938,-0.0010586
6.1125,-0.0010407
6.1312,-0.0010068
6.15,-0.00095826
6.1688,-0.00089636
6.1875,-0.00082276
6.2062,-0.00073917
6.225,-0.0006474
6.2437,-0.0005493
6.2625,-0.00044676
6.2812,-0.00034165
6.3,-0.00023581
6.3187,-0.00013098
6.3375,-2.8863e-05
6.3563,6.8999e-05
6.375,0.00016118
6.3937,0.0002464
6.4125,0.00032355
6.4312,0.00039171
6.45,0.00045012
6.4688,0.00049823
6.4875,0.00053567
6.5062,0.00056225
6.525,0.00057798
6.5438,0.00058305
6.5625,0.0005778
6.5812,0.00056274
6.6,0.00053852
6.6187,0.00050592
6.6375,0.00046582
6.6562,0.0004192
6.675,0.00036709
6.6937,0.0003106
6.7125,0.00025085
6.7313,0.00018899
6.75,0.00012613
6.7687,6.3372e-05
6.7875,1.7774e-06
6.8062,-5.7667e-05
6.825,-0.00011404
6.8438,-0.00016653
6.8625,-0.0002144
6.8812,-0.00025702
6.9,-0.00029391
6.9188,-0.00032467
6.9375,-0.00034903
6.9562,-0.00036684
6.975,-0.00037808
6.9937,-0.00038282
7.0125,-0.00038124
7.0312,-0.00037365
7.05,-0.00036039
7.0687,-0.00034194
7.0875,-0.0003188
7.1063,-0.00029156
7.125,-0.00026084
7.1437,-0.00022728
7.1625,-0.00019155
7.1812,-0.00015435
7.2,-0.00011633
7.2188,-7.8173e-05
7.2375,-4.0501e-05
7.2562,-3.9196e-06
7.275,3.1013e-05
7.2937,6.3789e-05
7.3125,9.3956e-05
7.3312,0.00012112
7.35,0.00014497
7.3687,0.00016523
7.3875,0.00018172
7.4062,0.00019432
7.425,0.00020299
7.4437,0.00020773
7.4625,0.00020864
7.4812,0.00020585
7.5,0.00019956
7.5187,0.00019002
7.5375,0.00017752
7.5562,0.00016239
7.575,0.00014498
7.5938,0.00012569
7.6125,0.00010491
7.6312,8.3055e-05
7.65,6.0525e-05
7.6687,3.7731e-05
7.6875,1.5064e-05
7.7062,-7.0995e-06
7.725,-2.8407e-05
7.7437,-4.8536e-05
7.7625,-6.7195e-05
7.7812,-8.413e-05
7.8,-9.9124e-05
7.8187,-0.000112
7.8375,-0.00012264
7.8562,-0.00013094
7.875,-0.00013686
7.8937,-0.00014039
7.9125,-0.00014157
7.9312,-0.00014048
7.95,-0.00013721
7.9688,-0.00013193
7.9875,-0.00012478
8.0062,-0.00011596
8.025,-0.00010569
8.0437,-9.4198e-05
8.0625,-8.1717e-05
8.0812,-6.8497e-05
8.1,-5.4784e-05
8.1188,-4.0826e-05
8.1375,-2.6863e-05
8.1562,-1.3126e-05
8.175,1.6691e-07
8.1937,1.2814e-05
8.2125,2.4634e-05
8.2312,3.5463e-05
8.25,4.5164e-05
8.2687,5.3621e-05
8.2875,6.0745e-05
8.3063,6.6473e-05
8.325,7.0767e-05
8.3438,7.3614e-05
8.3625,7.5025e-05
8.3812,7.5036e-05
8.4,7.3704e-05
8.4187,7.1106e-05
8.4375,6.7336e-05
8.4562,6.2505e-05
8.475,5.6737e-05
8.4938,5.0166e-05
8.5125,4.2935e-05
8.5312,3.5192e-05
8.55,2.7086e-05
8.5687,1.8769e-05
8.5875,1.0389e-05
8.6062,2.0873e-06
8.625,-5.9981e-06
8.6437,-1.3741e-05
8.6625,-2.1024e-05
8.6813,-2.7744e-05
8.7,-3.3809e-05
8.7188,-3.9145e-05
8.7375,-4.369e-05
8.7562,-4.7399e-05
8.775,-5.0243e-05
8.7937,-5.2207e-05
8.8125,-5.3293e-05
8.8312,-5.3517e-05
8.85,-5.2909e-05
8.8688,-5.1511e-05
8.8875,-4.9377e-05
8.9062,-4.6571e-05
8.925,-4.3167e-05
8.9437,-3.9242e-05
8.9625,-3.4884e-05
8.9812,-3.018e-05
9,-2.5223e-05
9.0187,-2.0104e-05
9.0375,-1.4913e-05
9.0563,-9.7403e-06
9.075,-4.6695e-06
9.0938,2.1966e-07
9.1125,4.8537e-06
9.1312,9.1663e-06
9.15,1.3099e-05
9.1687,1.6603e-05
9.1875,1.9636e-05
9.2062,2.2169e-05
9.225,2.4179e-05
9.2438,2.5654e-05
9.2625,2.6591e-05
9.2812,2.6997e-05
9.3,2.6887e-05
9.3187,2.6283e-05
9.3375,2.5216e-05
9.3562,2.3722e-05
9.375,2.1844e-05
9.3937,1.9628e-05
9.4125,1.7126e-05
9.4313,1.439e-05
9.45,1.1477e-05
9.4688,8.442e-06
9.4875,5.341e-06
9.5062,2.2288e-06
9.525,-8.419e-07
9.5437,-3.821e-06
9.5625,-6.662e-06
9.5812,-9.3226e-06
9.6,-1.1765e-05
9.6188,-1.3957e-05
9.6375,-1.5871e-05
9.6562,-1.7486e-05
9.675,-1.8786e-05
9.6937,-1.9761e-05
9.7125,-2.0408e-05
9.7312,-2.0729e-05
9.75,-2.073e-05
9.7687,-2.0423e-05
9.7875,-1.9826e-05
9.8063,-1.8959e-05
9.825,-1.7848e-05
9.8438,-1.6518e-05
9.8625,-1.5002e-05
9.8812,-1.3331e-05
9.9,-1.1538e-05
9.9187,-9.6589e-06
9.9375,-7.7265e-06
9.9562,-5.7752e-06
9.975,-3.8379e-06
9.9938,-1.9457e-06
10.012,-1.2816e-07
10.031,1.5879e-06
10.05,3.1782e-06
10.069,4.6216e-06
10.088,5.9002e-06
10.106,6.9996e-06
10.125,7.9087e-06
10.144,8.6204e-06
10.162,9.1308e-06
10.181,9.4397e-06
10.2,9.5501e-06
10.219,9.4683e-06
10.237,9.2036e-06
10.256,8.7678e-06
10.275,8.1751e-06
10.294,7.4419e-06
10.312,6.5861e-06
10.331,5.6271e-06
10.35,4.5853e-06
10.369,3.4813e-06
10.387,2.3364e-06
10.406,1.1715e-06
10.425,6.9098e-09
10.444,-1.1376e-06
10.463,-2.2435e-06
10.481,-3.2937e-06
10.5,-4.2726e-06
10.519,-5.1665e-06
10.537,-5.9634e-06
10.556,-6.6538e-06
10.575,-7.23e-06
10.594,-7.6866e-06
10.612,-8.0204e-06
10.631,-8.2305e-06
10.65,-8.318e-06
10.669,-8.2859e-06
10.688,-8.1391e-06
10.706,-7.8844e-06
10.725,-7.5301e-06
10.744,-7.0855e-06
10.762,-6.5615e-06
10.781,-5.9696e-06
10.8,-5.3221e-06
10.819,-4.6317e-06
10.838,-3.9113e-06
10.856,-3.174e-06
10.875,-2.4324e-06
10.894,-1.6987e-06
10.912,-9.848e-07
10.931,-3.0147e-07
10.95,3.4127e-07
10.969,9.3451e-07
10.987,1.4705e-06
11.006,1.9427e-06
11.025,2.346e-06
11.044,2.6765e-06
11.062,2.9317e-06
11.081,3.1105e-06
11.1,3.213e-06
11.119,3.2407e-06
11.137,3.1962e-06
11.156,3.0832e-06
11.175,2.9064e-06
11.194,2.6713e-06
11.213,2.3843e-06
11.231,2.0524e-06
11.25,1.6829e-06
11.269,1.2837e-06
11.287,8.626e-07
11.306,4.2767e-07
11.325,-1.3191e-08
11.344,-4.5226e-07
11.362,-8.8217e-07
11.381,-1.296e-06
11.4,-1.6873e-06
11.419,-2.0503e-06
11.438,-2.3799e-06
11.456,-2.6718e-06
11.475,-2.9224e-06
11.494,-3.1291e-06
11.512,-3.29e-06
11.531,-3.4039e-06
11.55,-3.4708e-06
11.569,-3.491e-06
11.588,-3.4661e-06
11.606,-3.3979e-06
11.625,-3.2891e-06
11.644,-3.1431e-06
11.662,-2.9634e-06
11.681,-2.7543e-06
11.7,-2.5201e-06
11.719,-2.2657e-06
11.737,-1.9959e-06
11.756,-1.7157e-06
11.775,-1.4299e-06
11.794,-1.1434e-06
11.812,-8.6083e-07
11.831,-5.8667e-07
11.85,-3.2502e-07
11.869,-7.9609e-08
11.887,1.4621e-07
11.906,3.4954e-07
11.925,5.2796e-07
11.944,6.7958e-07
11.963,8.0299e-07
11.981,8.973e-07
12,9.6216e-07
12.019,9.977e-07
12.037,1.0045e-06
12.056,9.8371e-07
12.075,9.3672e-07
12.094,8.6544e-07
12.112,7.7203e-07
12.131,6.5899e-07
12.15,5.2901e-07
12.169,3.8498e-07
12.188,2.2991e-07
12.206,6.6865e-08
12.225,-1.0105e-07
12.244,-2.7079e-07
12.262,-4.3939e-07
12.281,-6.04e-07
12.3,-7.6197e-07
12.319,-9.1084e-07
12.338,-1.0484e-06
12.356,-1.1727e-06
12.375,-1.2822e-06
12.394,-1.3754e-06
12.412,-1.4514e-06
12.431,-1.5095e-06
